epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,29643.7,1.52736,1.50972,1.38284,0.62506,0.53934,0.57952,0.31619,1.6577,1.69399,1.46167,0.001684,0.001684,0.001684
86,29993,1.51453,1.49931,1.3774,0.62567,0.53931,0.57988,0.31687,1.6573,1.69351,1.46106,0.001585,0.001585,0.001585
87,30336.6,1.51092,1.48226,1.37735,0.62713,0.53945,0.58085,0.31731,1.65781,1.69427,1.46059,0.001486,0.001486,0.001486
88,30684.4,1.51132,1.48501,1.37673,0.62712,0.54033,0.5817,0.31796,1.65887,1.69067,1.46025,0.001387,0.001387,0.001387
89,31030.1,1.50595,1.47627,1.37377,0.6307,0.53908,0.58245,0.3181,1.65974,1.69211,1.45997,0.001288,0.001288,0.001288
90,31379,1.50281,1.46446,1.36946,0.6284,0.54073,0.58221,0.31859,1.66043,1.69103,1.4599,0.001189,0.001189,0.001189
91,31722.9,1.49966,1.37886,1.40125,0.63215,0.54073,0.58293,0.31894,1.66083,1.69299,1.45959,0.00109,0.00109,0.00109
92,32058.1,1.4863,1.3607,1.39252,0.63312,0.54253,0.58312,0.31916,1.66059,1.69268,1.45943,0.000991,0.000991,0.000991
93,32395.5,1.47687,1.34893,1.38984,0.63389,0.54259,0.58368,0.31947,1.66059,1.69373,1.45892,0.000892,0.000892,0.000892
94,32734.5,1.4695,1.33051,1.3833,0.63401,0.54126,0.58363,0.31988,1.66102,1.69327,1.45875,0.000793,0.000793,0.000793
95,33071.7,1.46359,1.31957,1.38023,0.63533,0.54232,0.58423,0.32036,1.66186,1.69453,1.45879,0.000694,0.000694,0.000694
96,33410.3,1.45772,1.30798,1.37368,0.636,0.5426,0.58551,0.32082,1.66064,1.69161,1.45792,0.000595,0.000595,0.000595
97,33747,1.4544,1.29882,1.37023,0.63484,0.54421,0.58592,0.32135,1.66019,1.68926,1.45721,0.000496,0.000496,0.000496
98,34083.4,1.45011,1.29351,1.37013,0.63388,0.54548,0.58664,0.3217,1.65923,1.68677,1.45613,0.000397,0.000397,0.000397
99,34419.7,1.44155,1.28041,1.36296,0.63518,0.54488,0.58741,0.32195,1.65972,1.68597,1.45597,0.000298,0.000298,0.000298
100,34759.7,1.43871,1.2729,1.36197,0.63445,0.5449,0.58816,0.32287,1.66075,1.68424,1.45591,0.000199,0.000199,0.000199
