epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,10455.7,1.47326,1.36061,1.35785,0.64065,0.58771,0.617,0.33959,1.61645,1.58684,1.44576,0.003961,0.003961,0.003961
63,10624.5,1.46413,1.3483,1.34821,0.64202,0.58721,0.61743,0.33989,1.61684,1.58356,1.44545,0.003862,0.003862,0.003862
64,10792.3,1.45769,1.33079,1.34361,0.64325,0.58772,0.61802,0.34032,1.6182,1.5802,1.44575,0.003763,0.003763,0.003763
65,10960.4,1.45759,1.3224,1.3453,0.64363,0.58938,0.61808,0.34131,1.61935,1.57737,1.44554,0.003664,0.003664,0.003664
66,11128.3,1.45221,1.32022,1.34269,0.64669,0.58453,0.61789,0.34118,1.61962,1.57428,1.44532,0.003565,0.003565,0.003565
67,11295.5,1.44501,1.3129,1.33517,0.64508,0.58596,0.61863,0.34154,1.61981,1.57191,1.44515,0.003466,0.003466,0.003466
68,11463.1,1.44661,1.30637,1.33456,0.64901,0.58349,0.61895,0.34173,1.62038,1.5689,1.44516,0.003367,0.003367,0.003367
69,11630.4,1.43519,1.29208,1.32809,0.64913,0.58242,0.61925,0.34187,1.62099,1.56687,1.44534,0.003268,0.003268,0.003268
70,11797.7,1.43412,1.27643,1.32766,0.65072,0.58142,0.62018,0.34228,1.62209,1.5634,1.44531,0.003169,0.003169,0.003169
71,11965.4,1.42744,1.27311,1.31821,0.65354,0.58116,0.62129,0.34262,1.62343,1.561,1.44529,0.00307,0.00307,0.00307
72,12134,1.41625,1.26381,1.31628,0.65349,0.58084,0.62124,0.34275,1.62333,1.5596,1.44492,0.002971,0.002971,0.002971
73,12301.4,1.41972,1.25633,1.31409,0.65579,0.57653,0.6214,0.34286,1.62426,1.55666,1.44481,0.002872,0.002872,0.002872
74,12468.8,1.40921,1.23811,1.30446,0.65835,0.57555,0.62161,0.34307,1.62522,1.55468,1.44461,0.002773,0.002773,0.002773
75,12636.7,1.40315,1.23284,1.30175,0.66084,0.57528,0.62145,0.34315,1.62617,1.55307,1.44439,0.002674,0.002674,0.002674
76,12804.8,1.39705,1.22701,1.297,0.66104,0.57582,0.62202,0.34339,1.62761,1.55103,1.44481,0.002575,0.002575,0.002575
77,12971.9,1.39718,1.21413,1.29953,0.66105,0.57622,0.62225,0.34376,1.62839,1.5502,1.44477,0.002476,0.002476,0.002476
78,13139.3,1.38382,1.20097,1.29378,0.66078,0.57643,0.62255,0.34404,1.62953,1.54816,1.44503,0.002377,0.002377,0.002377
79,13306.4,1.37916,1.19307,1.28477,0.6612,0.57705,0.62276,0.34462,1.63091,1.54472,1.4452,0.002278,0.002278,0.002278
80,13474.4,1.37603,1.19264,1.28857,0.66221,0.57804,0.62291,0.34428,1.63251,1.54498,1.44555,0.002179,0.002179,0.002179
81,13644.1,1.37026,1.17307,1.27975,0.66049,0.57866,0.62321,0.34459,1.63299,1.54373,1.44571,0.00208,0.00208,0.00208
82,13814.7,1.36229,1.16281,1.27413,0.66184,0.58019,0.62341,0.34431,1.63459,1.54236,1.44639,0.001981,0.001981,0.001981
83,13985.8,1.35723,1.15726,1.27182,0.66156,0.57991,0.62401,0.34452,1.63556,1.5425,1.44708,0.001882,0.001882,0.001882
84,14155,1.35168,1.14582,1.26648,0.66306,0.58035,0.62425,0.34476,1.63652,1.54189,1.44747,0.001783,0.001783,0.001783
85,14325.1,1.34599,1.13782,1.26545,0.6596,0.58306,0.6243,0.3447,1.63801,1.54017,1.44804,0.001684,0.001684,0.001684
86,14494.3,1.33436,1.12303,1.25833,0.66038,0.58327,0.6244,0.34513,1.63989,1.53973,1.4487,0.001585,0.001585,0.001585
87,14665.1,1.33817,1.11841,1.25812,0.65718,0.58525,0.62458,0.34505,1.64163,1.53974,1.44978,0.001486,0.001486,0.001486
88,14835.6,1.33016,1.10762,1.25248,0.65727,0.58553,0.62448,0.34508,1.64335,1.53927,1.45044,0.001387,0.001387,0.001387
89,15002.4,1.32901,1.10313,1.25227,0.66191,0.58233,0.62437,0.34509,1.64482,1.53824,1.45084,0.001288,0.001288,0.001288
90,15172,1.31058,1.08434,1.24354,0.66168,0.58349,0.62469,0.34497,1.64639,1.53775,1.45134,0.001189,0.001189,0.001189
91,15345.3,1.29694,0.99095,1.26004,0.66505,0.58185,0.62541,0.34554,1.64829,1.53729,1.45238,0.00109,0.00109,0.00109
92,15513.7,1.28255,0.96135,1.24867,0.666,0.58142,0.62509,0.3455,1.6501,1.53642,1.45286,0.000991,0.000991,0.000991
93,15680.8,1.26902,0.94588,1.2445,0.6681,0.58084,0.62479,0.3454,1.65188,1.53412,1.45365,0.000892,0.000892,0.000892
94,15846.5,1.25724,0.93544,1.23784,0.67122,0.58005,0.62485,0.34505,1.65471,1.53405,1.45501,0.000793,0.000793,0.000793
95,16012,1.25013,0.91301,1.23101,0.67111,0.58123,0.62541,0.34498,1.65664,1.53192,1.45585,0.000694,0.000694,0.000694
96,16178,1.24237,0.90248,1.22558,0.67057,0.58172,0.62529,0.34503,1.6578,1.53138,1.45648,0.000595,0.000595,0.000595
97,16344.5,1.22974,0.89256,1.22048,0.66874,0.58203,0.62487,0.34486,1.66047,1.53083,1.45771,0.000496,0.000496,0.000496
98,16510.9,1.22124,0.88732,1.21794,0.67071,0.58017,0.62469,0.34464,1.66326,1.53006,1.45923,0.000397,0.000397,0.000397
99,16676.6,1.21314,0.87281,1.21003,0.67628,0.57606,0.62459,0.34469,1.66539,1.53006,1.46078,0.000298,0.000298,0.000298
100,16842.7,1.20456,0.86584,1.20513,0.67613,0.57545,0.62455,0.34433,1.66728,1.52872,1.46203,0.000199,0.000199,0.000199
